DATAFLOW,LAST UPDATE,freq,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AT,2006,100.08,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AT,2007,99.04,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AT,2008,99.61,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AT,2009,94.76,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AT,2010,100.58,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AT,2011,97.57,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AT,2012,97.71,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AT,2013,100.04,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AT,2014,96.15,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AT,2015,98.72,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AT,2016,100.77,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AT,2017,102.40,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AT,2018,99.97,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AT,2019,101.70,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AT,2020,93.82,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,AT,2021,99.85,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,BE,1990,86.10,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,BE,1991,90.28,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,BE,1992,90.17,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,BE,1993,88.88,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,BE,1994,91.55,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,BE,1995,93.44,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,BE,1996,99.47,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,BE,1997,98.36,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,BE,1998,100.91,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,BE,1999,100.75,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,BE,2000,102.38,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,BE,2001,104.80,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,BE,2002,98.78,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,BE,2003,102.22,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,BE,2004,101.60,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,BE,2005,100.00,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,BE,2006,99.03,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,BE,2007,95.63,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,BE,2008,100.24,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,BE,2009,94.39,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,BE,2010,103.55,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,BE,2011,96.03,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,BE,2012,96.39,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,BE,2013,99.61,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,BE,2014,93.31,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,BE,2015,97.59,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,BE,2016,98.89,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,BE,2017,98.03,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,BE,2018,98.78,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,BE,2019,97.14,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,BE,2020,90.09,
ESTAT:NRG_IND_EFF(1.0),24/03/23 23:00:00,A,FEC2020-2030,I05,BE,2021,97.34,
